"title","views","likes","dislikes","comments","favorites","url"
"Urgente: Especialista descobre que venezuela é um regime capitalista!","52887","8710","72","662","0","https://www.youtube.com/watch?v=YlnEqPqGVrI"
"MBL NEWS | 04/05/18 | Cunha continua preso, PF x Lula e  Temer sugere mudança na indicação do STF","6221","570","21","31","0","https://www.youtube.com/watch?v=cA0xmhPbbHk"
"GUILHERME BOULOS, MTST E PSOL! Perigo nas eleições 2018","43065","5243","55","186","0","https://www.youtube.com/watch?v=lv5ENEhlNms"
"Café com MBL || 04/05 || Lula sai? - Chora Boulos  e mais!","3838","330","16","13","0","https://www.youtube.com/watch?v=HOuUnLGp6ZU"
"CIRO NA PRESIDÊNCIA EM 2018? SÉRIO??","38435","6830","162","1197","0","https://www.youtube.com/watch?v=OeLukPiNwPI"
