"title","views","likes","dislikes","comments","favorites","url"
"Reunião Comissão de Relações Exteriores e Defesa Nacional.26.04.2018","4","2","0","disabled","0","https://www.youtube.com/watch?v=kWj6milid5U"
"Ciclo de Painéis de Debates O Brasil e a Ordem Internacional.07.05.2018","21","3","0","disabled","0","https://www.youtube.com/watch?v=52NadktlNzQ"
"Reunião Comissão de Relações Exteriores e Defesa Nacional.19.04.2018","35","3","0","disabled","0","https://www.youtube.com/watch?v=ONH8ChuEIYI"
"Discurso do Sen  Fernando Collor 17.04.2018","63","7","0","disabled","0","https://www.youtube.com/watch?v=bWy8SbMe1HM"
"Reunião Comissão de Relações Exteriores e Defesa Nacional 16.04.2018","11","1","1","disabled","0","https://www.youtube.com/watch?v=FrAoIMGnWW4"
