"title","views","likes","dislikes","comments","favorites","url"
"Nas redes sociais, Temer reforça importância de Operação Luz na Infância","33","disabled","disabled","3","0","https://www.youtube.com/watch?v=tJpZaDruw48"
"Temer: Novo Fies criou 310 mil vagas para estudantes de baixa renda","19","disabled","disabled","0","0","https://www.youtube.com/watch?v=If5erb0RdHg"
"Presidente Michel Temer: Concedemos títulos de posse com uma média 10 vezes superior a média anual","12","disabled","disabled","0","0","https://www.youtube.com/watch?v=bQbthvbD8ZQ"
"Temer: Autorizamos um aumento no Bolsa Família e zeramos a fila de espera do programa","10","disabled","disabled","1","0","https://www.youtube.com/watch?v=HPkj2JBn-24"
"Michel Temer: Conquistamos a marca do maior volume de recursos na área agropecuária","8","disabled","disabled","0","0","https://www.youtube.com/watch?v=01GXMMYLs3Q"
