"title","views","likes","dislikes","comments","favorites","url"
"Eduardo Giannetti está com Marina Silva","170","39","5","15","0","https://www.youtube.com/watch?v=_Sh24CrtmOQ"
"Palestra de Marina Silva na Universidade de Oxford","896","110","12","43","0","https://www.youtube.com/watch?v=FvNsjk62Xi8"
"Temer, Aécio, Renan e cia também precisam ser punidos","892","82","29","55","0","https://www.youtube.com/watch?v=L14U9aasDek"
"Se a escola for boa pra todo mundo, a gente muda a realidade do Brasil","487","62","10","21","0","https://www.youtube.com/watch?v=WyggT8Q-MIM"
"Não vale tudo para ganhar uma eleição","473","64","8","26","0","https://www.youtube.com/watch?v=EXLN3qXkNpY"
