"title","views","likes","dislikes","comments","favorites","url"
"Dirceu Será Preso e Lula Perde Benesses","1289","459","7","23","0","https://www.youtube.com/watch?v=w0KUIX6jO08"
"VEREADOR CONDENADO DEFENDE ASSASSINO MORTO PELA POLICIAL","1416","348","2","77","0","https://www.youtube.com/watch?v=k6K4QEEZ-DM"
