"title","views","likes","dislikes","comments","favorites","url"
"Carlos Minc - Mais um absurdo da bancada ruralista","1668","270","17","6","0","https://www.youtube.com/watch?v=IggYzwLQ4Ic"
"Pastor Ariovaldo:  'Exijo que parem de apontar suas armas para a cor da minha pele'  #FalsaAbolição","1447","248","15","27","0","https://www.youtube.com/watch?v=xbxpypD9NFc"
"Henrique Vieira - O Discursos de Bolsonaro Versus o Evangelho de Jesus","7533","837","134","154","0","https://www.youtube.com/watch?v=7gfK6bssjHE"
"Por Trás da Lona - A vida na ocupação Povo Sem Medo do Capão","1847","241","16","29","0","https://www.youtube.com/watch?v=h9sNHRzqAhI"
"Rachel Rolnik: A tragédia do Paissandu e as políticas habitacionais","1540","243","11","13","0","https://www.youtube.com/watch?v=JCpmChuNN6k"
