"title","views","likes","dislikes","comments","favorites","url"
"MBL NEWS | 18/05/18 | com Mamaefalei e Eric Balbinus","3645","506","24","21","0","https://www.youtube.com/watch?v=m_Whxu9K_eA"
"Arthur do Val: A ESQUERDA DECIDIRÁ O QUE É FAKE NEWS E O QUE NÃO É","10965","2343","26","169","0","https://www.youtube.com/watch?v=k2RWy-lCvm0"
"Direita toma golpe! - Kim Kataguiri.","24580","5605","44","641","0","https://www.youtube.com/watch?v=68U7XL4ImWI"
"Kim Kataguiri: Deputado de esquerda quer gerar novos benefícios para presidiários","19717","3172","21","158","0","https://www.youtube.com/watch?v=Jk0gR-Cl_AI"
"RUBINHO NUNES CONSEGUE CORTAR REGALIAS DE LULA!","8760","1768","6","112","0","https://www.youtube.com/watch?v=MaGFNOBT_gs"
