"title","views","likes","dislikes","comments","favorites","url"
"Absurdo | Índios cobram pedágios nas rodovias do Brasil |  (Marcello Reis)","163","36","2","3","0","https://www.youtube.com/watch?v=S55nAzfLxiY"
"Eleições 2018 | Jair Bolsonaro o pesadelo da mídia brasileira | (Marcello Reis)","413","71","3","12","0","https://www.youtube.com/watch?v=wqh-W3Y7UZs"
"General Mourão manda novo recado a nação Brasileira","906","136","3","11","0","https://www.youtube.com/watch?v=r6kU95YOPf8"
"Michel Temer expulso da tragedia no centro de São Paulo","196","15","0","2","0","https://www.youtube.com/watch?v=kqgMT7zkkBc"
"Terroristas marcando dinheiro brasileiro!","346","37","8","12","0","https://www.youtube.com/watch?v=4vjPnnBwsqE"
