"title","views","likes","dislikes","comments","favorites","url"
"Guilherme Boulos | Conheça algumas de nossas propostas para moradia","68","19","3","3","0","https://www.youtube.com/watch?v=qoQAbxkfgRg"
"Guilherme Boulos | Denuncie mentiras e Fake News sobre Guilherme Boulos","189","30","8","7","0","https://www.youtube.com/watch?v=whbWq3Fpb90"
"Guilherme Boulos responde!","901","108","10","15","0","https://www.youtube.com/watch?v=_GXqb5XpCPk"
"Da ocupação para a casa própria - MTST","132","29","3","1","0","https://www.youtube.com/watch?v=pZ7KuGENha0"
"Córtex: O Brasil sem chão e a terra firme dos Sem-Teto","285","21","1","1","0","https://www.youtube.com/watch?v=MIffqkqySHI"
