"title","views","likes","dislikes","comments","favorites","url"
"Carlos Minc - Mais um absurdo da bancada ruralista","1042","212","13","9","0","https://www.youtube.com/watch?v=IggYzwLQ4Ic"
"Pastor Ariovaldo:  'Exijo que parem de apontar suas armas para a cor da minha pele'  #FalsaAbolição","1146","224","10","21","0","https://www.youtube.com/watch?v=xbxpypD9NFc"
"Henrique Vieira - O Discursos de Bolsonaro Versus o Evangelho de Jesus","6180","715","116","134","0","https://www.youtube.com/watch?v=7gfK6bssjHE"
"Por Trás da Lona - A vida na ocupação Povo Sem Medo do Capão","1750","237","14","28","0","https://www.youtube.com/watch?v=h9sNHRzqAhI"
"Rachel Rolnik: A tragédia do Paissandu e as políticas habitacionais","1491","236","9","14","0","https://www.youtube.com/watch?v=JCpmChuNN6k"
