"title","views","likes","dislikes","comments","favorites","url"
"Guilherme Boulos | Vamos combater a máfia dos planos de saúde","362","51","6","10","0","https://www.youtube.com/watch?v=gmZxSLHk7k8"
"Guilherme Boulos | Conheça a minha história","1002","114","12","15","0","https://www.youtube.com/watch?v=gtAWH_fiYto"
"Guilherme Boulos | Confira como foi minha participação no Roda Viva","121","19","0","2","0","https://www.youtube.com/watch?v=K-u5rOSHMSs"
"Guilherme Boulos | Vamos reinventar a forma de fazer política","92","7","0","1","0","https://www.youtube.com/watch?v=6A1cYr0ofOc"
"Guilherme Boulos | Como resolver a questão da moradia no Brasil?","83","7","0","2","0","https://www.youtube.com/watch?v=yU2WgLH6XME"
