"title","views","likes","dislikes","comments","favorites","url"
"Chegada há pouco!‬ ‪Obrigado Natal/RN.‬ ‪Um abraço Nordeste.‬","5066","1792","2","180","0","https://www.youtube.com/watch?v=MvjER0flcwE"
"Os grandes partidos estariam com medo do Bolsonaro?","10379","2472","5","265","0","https://www.youtube.com/watch?v=uIPMbHED-cc"
"Jair Bolsonaro visita AgroBrasília (economia e agronegócio)","9488","2390","11","115","0","https://www.youtube.com/watch?v=R4NrflpoVIs"
"ALIANÇAS PARTIDÁRIAS.","7961","2052","8","76","0","https://www.youtube.com/watch?v=0Pui9P6uI94"
"Entrevista ao jornalista Ricardo Sapia sobre temas atuais.","8070","1901","9","123","0","https://www.youtube.com/watch?v=3x8hmlZTzwA"
