"title","views","likes","dislikes","comments","favorites","url"
"POLÍTICA DE COTA PARA JUVENTUDE RURAL","115","5","0","0","0","https://www.youtube.com/watch?v=Pv8WDpkhGKg"
"ACAMPAMENTO ""LULA LIVRE"" - BRASÍLIA/DF","312","14","2","0","0","https://www.youtube.com/watch?v=iZ3g46Ft2h8"
"Jamais poderão aprisionar nossos sonhos!","104","5","0","0","0","https://www.youtube.com/watch?v=-rqKGMhnmGk"
"Os povos do cerrado estão resistindo!","81","4","0","0","0","https://www.youtube.com/watch?v=dNzwXexhDHs"
"Precisamos de ÁGUA para alimentar o Brasil!","202","3","0","0","0","https://www.youtube.com/watch?v=gJZ1sAp7yAg"
