"title","views","likes","dislikes","comments","favorites","url","publishedAt","description","tags","embeddable","duration","thumbnail","related_to_video","video_category"
"Lawrence H White (Free Markets Series)","235","19","1","2","0","https://www.youtube.com/watch?v=HlLnD8a33cU","2018-02-27T12:30:01.000Z","No episódio desse mês do Free Markets, conheça um dos pioneiros na teoria do sistema bancário livre, Lawrence H. White. Conheça melhor a história dos bancos e como a intervenção governamental prejudica o seu funcionamento.

Buscando aprender e desenvolver habilidades de liderança e aperfeiçoamento profissional? Se inscreva agora na Academia da Liberdade: http://www.epl.org.br/academiadaliberdade/

Para ativar as legendas, clique no botão esquerdo ao lado da engrenagem.","disabled",True,"PT26M50S","https://i.ytimg.com/vi/HlLnD8a33cU/hqdefault.jpg","https://www.youtube.com/watch?v=s4Zq4e_QVSU,https://www.youtube.com/watch?v=FS_LUvhqYTk,https://www.youtube.com/watch?v=xHvZYFVeKbk,https://www.youtube.com/watch?v=NStwnOh9AsU,https://www.youtube.com/watch?v=Dd-UHqibj5c,https://www.youtube.com/watch?v=GyVgae-OG4k,https://www.youtube.com/watch?v=bSHO5wV6JPg,https://www.youtube.com/watch?v=kEeucL_leLo,https://www.youtube.com/watch?v=-PtXgOkrLQI,https://www.youtube.com/watch?v=DC2WGbj-X8E,https://www.youtube.com/watch?v=o_2A684dAdA,https://www.youtube.com/watch?v=AHSlU1JaoJM,https://www.youtube.com/watch?v=TH7FITa9B9Q,https://www.youtube.com/watch?v=-k6PBWi3OlM,https://www.youtube.com/watch?v=UnSA27a00To,https://www.youtube.com/watch?v=62fWmNnwk0E,https://www.youtube.com/watch?v=D2ChpMCbMNg,https://www.youtube.com/watch?v=pSyE82yRaKU,https://www.youtube.com/watch?v=GDcBkEazuHQ,https://www.youtube.com/watch?v=G0I9E1vcb5o,https://www.youtube.com/watch?v=q7E4XrfGGnE,https://www.youtube.com/watch?v=G_MFhAoUUmQ,https://www.youtube.com/watch?v=7KiQfox1JPs,https://www.youtube.com/watch?v=D3N2sNnGwa4,https://www.youtube.com/watch?v=Bl8Q7Lt56y0,https://www.youtube.com/watch?v=rvbiuI2PRpQ,https://www.youtube.com/watch?v=g-zgxrO4kWg,https://www.youtube.com/watch?v=UEjXmUJL8nU,https://www.youtube.com/watch?v=s1bXkYgEnGM,https://www.youtube.com/watch?v=vTYqkrHIh1c,https://www.youtube.com/watch?v=yIWBcHrkCDA,https://www.youtube.com/watch?v=KvFlYXL1P2Y,https://www.youtube.com/watch?v=QOaG11ZuvR0,https://www.youtube.com/watch?v=86DOSafQ9Po,https://www.youtube.com/watch?v=bSnoOJ0EiOc,https://www.youtube.com/watch?v=e6fCIYJyQqc,https://www.youtube.com/watch?v=6f6qznpU_Rs,https://www.youtube.com/watch?v=kQFxcFsMgFA,https://www.youtube.com/watch?v=abBdueYq-ww,https://www.youtube.com/watch?v=StoRIaGAS84,https://www.youtube.com/watch?v=2Sv6dk7BhTY,https://www.youtube.com/watch?v=ANA57VatwsA,https://www.youtube.com/watch?v=8G8moqrbDRQ,https://www.youtube.com/watch?v=nk8VfoXE9EE,https://www.youtube.com/watch?v=XdZI72-ugC0,https://www.youtube.com/watch?v=i4Hcj14-XSk,https://www.youtube.com/watch?v=m2j58-Gh9hw,https://www.youtube.com/watch?v=D9N535gR9qo,https://www.youtube.com/watch?v=fKjaSE2-f80,https://www.youtube.com/watch?v=sMJTqvYlOb0,","Educação"
"Brad Lips (Free Markets Series)","248","30","0","2","0","https://www.youtube.com/watch?v=pkzXdP5DwJc","2018-01-16T11:30:00.000Z","Buscando aprender e desenvolver habilidades de liderança e aperfeiçoamento profissional? Se inscreva agora na Academia da Liberdade: http://www.epl.org.br/academiadaliberdade/

Para ativar as legendas, clique no botão esquerdo ao lado da engrenagem.","disabled",True,"PT26M49S","https://i.ytimg.com/vi/pkzXdP5DwJc/hqdefault.jpg","https://www.youtube.com/watch?v=FS_LUvhqYTk,https://www.youtube.com/watch?v=HlLnD8a33cU,https://www.youtube.com/watch?v=-k6PBWi3OlM,https://www.youtube.com/watch?v=G0I9E1vcb5o,https://www.youtube.com/watch?v=qNoGUMFBkLI,https://www.youtube.com/watch?v=fuJZgzE5b0w,https://www.youtube.com/watch?v=f3J0ivbKc0Q,https://www.youtube.com/watch?v=95H1wqh96Ts,https://www.youtube.com/watch?v=rvbiuI2PRpQ,https://www.youtube.com/watch?v=s1bXkYgEnGM,https://www.youtube.com/watch?v=1XK965ig70k,https://www.youtube.com/watch?v=vTYqkrHIh1c,https://www.youtube.com/watch?v=UEjXmUJL8nU,https://www.youtube.com/watch?v=bSnoOJ0EiOc,https://www.youtube.com/watch?v=86DOSafQ9Po,https://www.youtube.com/watch?v=8MNsP03K8Hw,https://www.youtube.com/watch?v=g-zgxrO4kWg,https://www.youtube.com/watch?v=2Sv6dk7BhTY,https://www.youtube.com/watch?v=onGWIXaBHTo,https://www.youtube.com/watch?v=qK-ynEhQsKw,https://www.youtube.com/watch?v=6f6qznpU_Rs,https://www.youtube.com/watch?v=4MVO5RzIu7k,https://www.youtube.com/watch?v=Zx8bHWBbom0,https://www.youtube.com/watch?v=KvFlYXL1P2Y,https://www.youtube.com/watch?v=OLq5uCxe7dM,https://www.youtube.com/watch?v=e6fCIYJyQqc,https://www.youtube.com/watch?v=yiHc_D3jeAk,https://www.youtube.com/watch?v=CdThDS4rd8w,https://www.youtube.com/watch?v=StoRIaGAS84,https://www.youtube.com/watch?v=M0sNimyt3ak,https://www.youtube.com/watch?v=abBdueYq-ww,https://www.youtube.com/watch?v=ztYJOf4UIbI,https://www.youtube.com/watch?v=PkwhMNK421M,https://www.youtube.com/watch?v=ANA57VatwsA,https://www.youtube.com/watch?v=gPNKzNfihKE,https://www.youtube.com/watch?v=t36lHUu1eiI,https://www.youtube.com/watch?v=XdZI72-ugC0,https://www.youtube.com/watch?v=6XGEmF4UbA0,https://www.youtube.com/watch?v=D9N535gR9qo,https://www.youtube.com/watch?v=m2j58-Gh9hw,https://www.youtube.com/watch?v=s-IkmUqWiS0,https://www.youtube.com/watch?v=sMJTqvYlOb0,https://www.youtube.com/watch?v=nk8VfoXE9EE,https://www.youtube.com/watch?v=u1TrARObfwY,https://www.youtube.com/watch?v=QtTOuj09Lz0,https://www.youtube.com/watch?v=EJ1S_UldK98,","Educação"
