"title","views","likes","dislikes","comments","favorites","url","publishedAt","description","tags","embeddable","duration","thumbnail","related_to_video","video_category"
"Lula: Jamais poderão aprisionar nossos sonhos","2569","disabled","disabled","disabled","0","https://www.youtube.com/watch?v=OZbURwBzfK4","2018-04-07T20:49:27.000Z","“Os que nos perseguem podem fazer o que quiser comigo, mas #JamaisPoderãoAprisionarNossosSonhos” – Lula  

Agora, mais do que nunca, precisamos lutar contra a injustiça que assola o país e que se concretiza na prisão sem provas do maior presidente do Brasil.  

Participe dessa luta nas redes sociais publicando esse vídeo, participando do tuitaço e divulgando essas imagens.  

Banco de imagens, avatar e capa: http://bit.ly/JamaisAprisionaraoArtes
Banco de tuítes: http://bit.ly/JamaisAprisionaraoNossosSonhos 
Mascara do avatar/ Twibbon : http://bit.ly/JamaisAprisionaraoTwibbon","disabled",True,"PT2M15S","https://i.ytimg.com/vi/OZbURwBzfK4/hqdefault.jpg","https://www.youtube.com/watch?v=JfdQ2DMUgVw,https://www.youtube.com/watch?v=o0pJ3HzkBWA,https://www.youtube.com/watch?v=fNuVXQ1WQEI,https://www.youtube.com/watch?v=OwsK2hYgY90,https://www.youtube.com/watch?v=qxtnpXjyMSY,https://www.youtube.com/watch?v=g8mxBnCG9Yk,https://www.youtube.com/watch?v=g3he4FIhhG4,https://www.youtube.com/watch?v=2DLZtl9o3vM,https://www.youtube.com/watch?v=JRwMRg6AP58,https://www.youtube.com/watch?v=3YeYlSbmdg4,https://www.youtube.com/watch?v=7FDbd0BC4MY,https://www.youtube.com/watch?v=MlJD6T1WPOA,https://www.youtube.com/watch?v=xFEJAbePQf8,https://www.youtube.com/watch?v=zE6BvEnix4I,https://www.youtube.com/watch?v=yieGAEvmJwE,https://www.youtube.com/watch?v=iq9RRX2O0yk,https://www.youtube.com/watch?v=qmLPNpP4tLE,https://www.youtube.com/watch?v=QBXPX8-Q-mQ,https://www.youtube.com/watch?v=wRrt6G2KvvQ,https://www.youtube.com/watch?v=fJjjTb6PO9U,https://www.youtube.com/watch?v=G-WlN04rDdk,https://www.youtube.com/watch?v=jSOVyhaymvg,https://www.youtube.com/watch?v=NGDhSSfo2j0,https://www.youtube.com/watch?v=4sCdADSWm1o,https://www.youtube.com/watch?v=io-uv9Zr-JU,https://www.youtube.com/watch?v=-3MsFb4qKqg,https://www.youtube.com/watch?v=Ci34Gc71hpA,https://www.youtube.com/watch?v=RvCQV4Ka3oE,https://www.youtube.com/watch?v=DE33QTz2D1A,https://www.youtube.com/watch?v=LSujEPpO_6A,https://www.youtube.com/watch?v=fgYJdCfrTVY,https://www.youtube.com/watch?v=ihnxLUmJGFU,https://www.youtube.com/watch?v=-cEQbQ66I3A,https://www.youtube.com/watch?v=N4_5qsL5Hd0,https://www.youtube.com/watch?v=5kboz5QRH4o,https://www.youtube.com/watch?v=NHutVq7Obgg,https://www.youtube.com/watch?v=rWR2cFIoasM,https://www.youtube.com/watch?v=YSPKdMAZp4E,https://www.youtube.com/watch?v=QmHTa_OPLUQ,https://www.youtube.com/watch?v=AJVdVelTOpI,https://www.youtube.com/watch?v=uvR8nDucCdU,https://www.youtube.com/watch?v=wR4YeR7Akr8,https://www.youtube.com/watch?v=ku2Oggblm0A,https://www.youtube.com/watch?v=ctMwBs-pgbk,https://www.youtube.com/watch?v=EapN6TBFbBw,https://www.youtube.com/watch?v=lX3uCuFKlqw,https://www.youtube.com/watch?v=1KUBG_94f7s,https://www.youtube.com/watch?v=PBXeEe4KURM,https://www.youtube.com/watch?v=k3T_qkSGcCA,https://www.youtube.com/watch?v=0b-xf6wbLYc,","Notícias e política"
"Dilma e Amorim denunciam milícias à mídia internacional","568","disabled","disabled","disabled","0","https://www.youtube.com/watch?v=zr6J20IR9J0","2018-03-28T16:29:41.000Z","Durante entrevista nesta segunda-feira (26) a jornalistas da imprensa internacional, a ex-presidenta Dilma Rousseff e o ex-chanceler Celso Amorim denunciaram a escalada de violência e o crescimento do fascismo no Brasil. 

Dilma destacou os sucessivos atos de agressão contra a caravana do ex-presidente Luiz Inácio Lula da Silva que percorre o sul do país. Segundo ela, os agressores compõem ""verdadeiras milicias"", bandos armados de extrema-direita, e são resultado do recrudescimento do golpe que a retirou da presidência em 2016.","['Dilma Rousseff', 'Celso Amorim', 'Lula', 'caravana', 'tiros', 'atentado contra Lula']",True,"PT9M37S","https://i.ytimg.com/vi/zr6J20IR9J0/hqdefault.jpg","https://www.youtube.com/watch?v=4LbcySNGrtQ,https://www.youtube.com/watch?v=sL28LDX8mwY,https://www.youtube.com/watch?v=ZHOcKcqGID4,https://www.youtube.com/watch?v=sVvGrcXxXPI,https://www.youtube.com/watch?v=vImFwZ6ZQbA,https://www.youtube.com/watch?v=EFb-_sQx710,https://www.youtube.com/watch?v=lVvcjwUuEe8,https://www.youtube.com/watch?v=fNuVXQ1WQEI,https://www.youtube.com/watch?v=opHSVlIAApY,https://www.youtube.com/watch?v=vSLomSQLzf0,https://www.youtube.com/watch?v=WuWnv7su2Mg,https://www.youtube.com/watch?v=MlJD6T1WPOA,https://www.youtube.com/watch?v=9ROur5a-yes,https://www.youtube.com/watch?v=o79VPhf_2UE,https://www.youtube.com/watch?v=RMmZRNmgNa4,https://www.youtube.com/watch?v=APZm2geg1Z8,https://www.youtube.com/watch?v=RYphCZ_Azog,https://www.youtube.com/watch?v=F6vAuIElF9E,https://www.youtube.com/watch?v=ZshOJUg0sp0,https://www.youtube.com/watch?v=uPOq98hpzMA,https://www.youtube.com/watch?v=H2VbS-iLmRg,https://www.youtube.com/watch?v=O46Et15JV-0,https://www.youtube.com/watch?v=f-h0e2flvMw,https://www.youtube.com/watch?v=DRij3q6h5o8,https://www.youtube.com/watch?v=AuIKwYiw0As,https://www.youtube.com/watch?v=sBi5vFV-gD4,https://www.youtube.com/watch?v=7d-3iP7cxsY,https://www.youtube.com/watch?v=XgUwkCUFemA,https://www.youtube.com/watch?v=QdY5iEoGYUQ,https://www.youtube.com/watch?v=cDK2yRega5I,https://www.youtube.com/watch?v=buDe9vaiex8,https://www.youtube.com/watch?v=e2fVPtffa5g,https://www.youtube.com/watch?v=PfzWE27yK5M,https://www.youtube.com/watch?v=9EJsycd5mLE,https://www.youtube.com/watch?v=LcBvXJkjIBg,https://www.youtube.com/watch?v=pDoVu1fIV9w,https://www.youtube.com/watch?v=-B25JRPc8CM,https://www.youtube.com/watch?v=meg9196jsW4,https://www.youtube.com/watch?v=3j592yx6VHU,https://www.youtube.com/watch?v=qIAH4HrpJbA,https://www.youtube.com/watch?v=xydErjj4rL4,https://www.youtube.com/watch?v=-3MsFb4qKqg,https://www.youtube.com/watch?v=IjYtb6Qe1aM,https://www.youtube.com/watch?v=aad3_5xVr2s,https://www.youtube.com/watch?v=Rw1mHYU4gFo,https://www.youtube.com/watch?v=NjxdtShF2vo,https://www.youtube.com/watch?v=OZbURwBzfK4,https://www.youtube.com/watch?v=lUos0QiU_RQ,https://www.youtube.com/watch?v=PBXeEe4KURM,https://www.youtube.com/watch?v=E632ax0jNtA,","Notícias e política"
