"title","views","likes","dislikes","comments","favorites","url"
"Michel Temer: Temos que nos abrir para o mundo, preservando sempre as questões nacionais","25","disabled","disabled","3","0","https://www.youtube.com/watch?v=1zT3L2YCeNs"
"Michel Temer: Acordos bilaterais impulsionam relações entre Brasil e Suriname","17","disabled","disabled","0","0","https://www.youtube.com/watch?v=WibM4aATmH0"
"Presidente Temer recebe catarinense que trabalha há 80 anos na mesma empresa","76","disabled","disabled","0","0","https://www.youtube.com/watch?v=tmIPne-149A"
"Brasil e Chile celebram livre comércio e relações econômicas","35","disabled","disabled","1","0","https://www.youtube.com/watch?v=zaEOs2PFrn8"
"Presidente Michel Temer cria conselhos dos técnicos industriais e agrícolas","39","disabled","disabled","0","0","https://www.youtube.com/watch?v=e3P6fgGKXig"
