"title","views","likes","dislikes","comments","favorites","url"
"129• aniversário do Colégio Militar do Rio de Janeiro!","5091","1362","5","110","0","https://www.youtube.com/watch?v=C6au7mW57X8"
"Usando tática do MST ativistas quilombolas de Eldorado/SP fecham rodovia.","4458","808","4","70","0","https://www.youtube.com/watch?v=gnGdhH1N0JY"
"A Passagem de comando no Comando Militar do Sudeste. Parabéns aos Generais Campos e Ramos.","8686","2020","8","143","0","https://www.youtube.com/watch?v=fRPAdPTvggw"
"Ex-militante de esquerda fala sobre Jair Bolsonaro.","21061","4892","33","303","0","https://www.youtube.com/watch?v=BMKjDZdzLUo"
"General Mourão, os valores da nossa sociedade e o Deputado Jair Bolsonaro.","9495","2658","11","183","0","https://www.youtube.com/watch?v=Sy0vH9-6bok"
