"title","views","likes","dislikes","comments","favorites","url"
"General Mourão manda novo recado a nação Brasileira","866","134","3","11","0","https://www.youtube.com/watch?v=r6kU95YOPf8"
"Michel Temer expulso da tragedia no centro de São Paulo","189","15","0","2","0","https://www.youtube.com/watch?v=kqgMT7zkkBc"
"Terroristas marcando dinheiro brasileiro!","334","37","8","12","0","https://www.youtube.com/watch?v=4vjPnnBwsqE"
"Real Madrid 1 X 1 Bayer de Munique - 10 min - 1°tempo","0","0","0","0","0","https://www.youtube.com/watch?v=Qt5PqWvf3NE"
"Real Madrid 0 X 1 Bayer de Munique - 3 min 1°tempo","0","0","0","0","0","https://www.youtube.com/watch?v=Olh3ArF3ax8"
