<<<<<<< HEAD
"Título","Número de visualizações"
"GILBERTO CARVALHO PROCESSA CARLA ZAMBELLI E PERDE FEIO!","980"
"O GILMAR HOJE É NOSSO ALIADO - DIZ DEPUTADO WADIH DOMOUS DO PT","884"
=======
"title","views"
"GILBERTO CARVALHO PROCESSA CARLA ZAMBELLI E PERDE FEIO!","992"
"O GILMAR HOJE É NOSSO ALIADO - DIZ DEPUTADO WADIH DOMOUS DO PT","894"
>>>>>>> master
