<<<<<<< HEAD
"Título","Número de visualizações"
"Temer, Aécio, Renan e cia também precisam ser punidos","539"
"Se a escola for boa pra todo mundo, a gente muda a realidade do Brasil","388"
"Não vale tudo para ganhar uma eleição","372"
=======
"title","views"
"Temer, Aécio, Renan e cia também precisam ser punidos","543"
"Se a escola for boa pra todo mundo, a gente muda a realidade do Brasil","390"
"Não vale tudo para ganhar uma eleição","377"
>>>>>>> master
