"Título","Número de visualizações"
"Pequena história da hegemonia esquerdista nas escolas e universidades brasileiras","226"
"Flagrante de doutrinação em escola de Santa Catarina","16"
"Escola sem Partido derrota totalitarismo “do bem” na UFLA","80"
