<<<<<<< HEAD
"Título","Número de visualizações"
"Jornada de Lutas da UBES - Edson Luís e Marielle Franco, presentes!","33"
"Boletim Nossa Voz 23/03/18","321"
"Boletim Nossa Voz 16 03 2018","47"
"Vem aí... UNE Volante!","142"
=======
"title","views"
"Jornada de Lutas da UBES - Edson Luís e Marielle Franco, presentes!","33"
"Boletim Nossa Voz 23/03/18","324"
"Boletim Nossa Voz 16 03 2018","47"
"Vem aí... UNE Volante!","143"
>>>>>>> master
"Boletim Nossa Voz 09/03/2018","46"
