"title","views","likes","dislikes","comments","favorites","url"
"II ENCONTRO DE JOVENS FEMINISTAS DA UJS","70","7","5","0","0","https://www.youtube.com/watch?v=RlTrkMgoNwE"
"Ocupa o Poder","316","46","4","2","0","https://www.youtube.com/watch?v=ZRKJqlzJV0g"
