"title","views"
"POLÍTICA DE COTA PARA JUVENTUDE RURAL","66"
"ACAMPAMENTO ""LULA LIVRE"" - BRASÍLIA/DF","261"
"Jamais poderão aprisionar nossos sonhos!","95"
"Os povos do cerrado estão resistindo!","76"
"Precisamos de ÁGUA para alimentar o Brasil!","197"
