"actor","username","channel_id","subscribers","video_count","view_count","comment_count"
"Frente Brasil Popular","","UCX2Aanu4fGewmhP4rf5GQ3Q","301","6","1867","0"
"Frente Povo Sem Medo","","","","","",""
"# Ocupa Política","","","","","",""
"Movimento Agora!","","UC5AH5khzIk15T0waSp-ayCg","174","116","7722","0"
"Movimento Muitxs","","UCVoyVm_HowbEYG7Wqptx5eA","91","4","3748","0"
"Bancada Ativista","","","","","",""
"RenovaBR","","","","","",""
"Frente Nacional Contra a censura","","","","","",""
"Frente Autônoma LGBT","","","","","",""
"Frente Nacional pela legalização do aborto","","","","","",""
"Mídia Ninja","midianinjafly","UCwefw3viiiaxprsV6jgJvEA","48466","417","2204210","0"
"342 Artes","","UCZFvLA3k9cw7nO-4r4FSOwA","4394","180","314091","0"
"MTST - Movimento Trabalhadores Sem-Teto","","UC3OzrZMhnmEgVtxpJoDRkeg","844","34","23350","0"
"MST - Movimento dos Trabalhadores Sem Terra","","","","","",""
"MPL - Movimento Passe Livre","","","","","",""
"MLB - Movimento de Luta nos Bairros, Vilas e Favelas","","","","","",""
"UNE - União Nacional dos Estudantes","uneoficial","UCI9UhLCYUB8v82jdVvJMnuA","2932","427","318812","0"
"CUT - Central Única dos Trabalhadores","","","","","",""
"Levante Popular da Juventude","","UCmo_qwwtofscJjjND_Pm-UA","2725","156","214468","0"
"Juntos","jornaljuntos","UCmZp0eVq7fpxKHHvncJHSrg","957","242","196263","0"
"MAIS","","UCXrqijOy0tezQ8_-0OCqAPw","256","41","12551","0"
"Movimento Correnteza","","UCH2R0pAFyqnCtp253XVYq-w","78","1","1216","0"
"UJS - União da Juventude Socialista","","UCz0799M83kYvb6qBkHxTWFQ","1341","57","76905","0"
"UJR Brasil","","","","","",""
"Movimento de Mulheres Olga Benário - Nacional","","","","","",""
"Faísca - Anticapitalista e Revolucionária","","","","","",""
"Pão e Rosas Brasil","","UCDyMmoCj1jvF8ooGs_SQbJg","2","7","279","0"
"MRT - Movimento Revolucionário dos Trabalhadores","","","","","",""
"UBES - União Brasileira  Estudantes Secundaristas","","","","","",""
"União da Juventude Comunista - UJC Brasil","","UCLTOw6dtkalzyBRXvUuEpTg","1764","188","69231","0"
"RUA - Juventude Anticapitalista","","UCTSv82hMEIFnJjCOHzizVzw","97","4","7337","0"
"Afronte","","","","","",""
"União Brasileira de Mulheres UBM","","","","","",""
"Movimento dos Atingidos por Barragens (MAB)","mabcomunicacao","UC3UDbLgGfCfxiHDc7m8faQQ","1052","192","217236","0"
"Contag","ContagBrasil","UCfi7PCkseJNwGbaD0X-mAXA","600","194","75262","0"
"Geledés Mulher Negra","","UCO9-aYrQfWP1Mm0A0hJdbMA","419","1","462","0"
"Marcha das Mulheres","mulheresemmarcha","UCh0Eth5qo5-S1IMigJhTLdg","809","120","313316","0"
"Não Me Khalo","","UCLMp2AgzSZrEZhz1XzJXeXw","3092","30","159351","0"
"Vem Pra Rua","","UCNORbWRHIwZuCiHz2Ukh6Nw","1952","80","73671","0"
"Revoltados Online","revoltadosonline","UCVo8EvHIDfSaBQT3gSFUyxQ","42479","887","7620596","0"
"Estudantes Pela Liberdade","libertarianismoplus","UCWU5PdQ9Ec5eZleRm6Qd-Ig","44543","778","5281917","0"
"Escola Sem Partido","","UCTLIxRJaYAtf44baTh0MN6A","700","5","94227","0"
"Instituto Mercado Popular","","","","","",""
"Libertarianismo +","","","","","",""
"Movimento Brasil Livre","","UC8QAdpiEWAOg3AOCCFDCOYw","310050","1111","34552719","0"
"Movimento Contra a Corrupção","canalcontracorrupcao","UCvo3PC2zBfG1IsCWVJVn6pw","27275","70","1682631","0"
"Livres","","","","","",""
"Nas Ruas","nasruastv","UCX9VzlP1DyeasSivEr9Eddw","21322","721","2307964","0"
"Lula","icidadania","UCs6avCwreiI6QoFR83Ul2UQ","9957","269","2474943","0"
"Fernando Haddad","","","","","",""
"Ciro Gomes","","UCz0i4BaFbRuLun82sl5yWLw","18335","130","1563283","0"
"Dória","","","","","",""
"Alckmin","","","","","",""
"Bolsonaro","jbolsonaro","UC8hGUtfEgvvnp6IaHSAg1OQ","522905","778","37716956","0"
"Henrique Meirelles","","","","","",""
"Temer","MichelTemer","UCI1scpqZalSY96yDKAp0afQ","0","994","423313","0"
"Marina Silva","msilvaonline","UC9uefWa6TXIPDRWGZYMcTuA","13354","874","4293215","0"
"Levy Fidelix","","UCHn-xluSQGIiknQ56iNTNdA","2916","344","223924","0"
"Everaldo","BlogdoEveraldo","UClHDtWJ0HwBMD6j36C24w9A","493","137","170754","0"
"Flávio Rocha","","","","","",""
"Roberto Justus Ofici","robertoljustus","UCLWVlQxY7Dc4OFhc08Qjf9A","1888","23","421013","0"
"Guilherme Boulos","","UCFwzvNKpQWKMbiOHJ26IEnQ","1340","72","60688","0"
"Jaques Wagner","","","","","",""
"Fernando Collor de Mello","adicollor","UCz05q_SCq3cTuH4DPaw8OSw","883","315","299973","0"
"Celso Amorim","","","","","",""
"Cristovam Buarque","cristovambuarque","UCnBgXZ4kWgrOY-6PA1A6PmQ","2293","305","341590","0"
"Joaquim Barbosa","","","","","",""
