"title","views","likes","dislikes","comments","favorites","url","publishedAt","description","tags","embeddable","duration","thumbnail","related_to_video","video_category"
"Jornada de Lutas da UBES - Edson Luís e Marielle Franco, presentes!","56","6","8","3","0","https://www.youtube.com/watch?v=RmDDFwIGVJI","2018-04-16T21:14:10.000Z","Ato realizado no Rio de Janeiro em 28/03/2018.
Reportagem: Nathália Pesciotta
Produção e edição: Maiakovski Pinheiro e Yuri Salvador","['Rio de Janeiro', 'Marielle Franco', 'Edson Luís', 'Jornada de Lutas', 'UBES', 'UNE']",True,"PT4M9S","https://i.ytimg.com/vi/RmDDFwIGVJI/hqdefault.jpg","https://www.youtube.com/watch?v=0FTNkz-mwF8,https://www.youtube.com/watch?v=oincz7cAhKw,https://www.youtube.com/watch?v=xRU5dZw8EnE,https://www.youtube.com/watch?v=uMcz40KUR1o,https://www.youtube.com/watch?v=EPsb_g3NVNs,","Sem fins lucrativos/ativismo"
"Boletim Nossa Voz 23/03/18","469","3","20","1","0","https://www.youtube.com/watch?v=jBGURrm6DkQ","2018-03-23T21:46:16.000Z","As principais notícias da semana no site da União Nacional dos Estudantes.","disabled",True,"PT51S","https://i.ytimg.com/vi/jBGURrm6DkQ/hqdefault.jpg","https://www.youtube.com/watch?v=fWeObcSpupQ,https://www.youtube.com/watch?v=fWQQcDfrGJk,https://www.youtube.com/watch?v=IBSdjuDgtYo,https://www.youtube.com/watch?v=QKdlQgO2s44,https://www.youtube.com/watch?v=0FTNkz-mwF8,","Sem fins lucrativos/ativismo"
"Boletim Nossa Voz 16 03 2018","55","7","1","0","0","https://www.youtube.com/watch?v=_dO1EF_iZgc","2018-03-16T20:11:56.000Z","","disabled",True,"PT58S","https://i.ytimg.com/vi/_dO1EF_iZgc/hqdefault.jpg","https://www.youtube.com/watch?v=JKByfXPUesY,https://www.youtube.com/watch?v=fWQQcDfrGJk,https://www.youtube.com/watch?v=5GRS-fBcnJ8,https://www.youtube.com/watch?v=Yx4Hgbk2GA0,https://www.youtube.com/watch?v=jBGURrm6DkQ,","Sem fins lucrativos/ativismo"
"Vem aí... UNE Volante!","195","7","4","2","0","https://www.youtube.com/watch?v=d_zZxZ7YlTg","2018-03-13T21:37:08.000Z","","disabled",True,"PT42S","https://i.ytimg.com/vi/d_zZxZ7YlTg/hqdefault.jpg","https://www.youtube.com/watch?v=sqQCC61ltq4,https://www.youtube.com/watch?v=fWeObcSpupQ,https://www.youtube.com/watch?v=hdc429jVPlQ,https://www.youtube.com/watch?v=sL28LDX8mwY,https://www.youtube.com/watch?v=B6wN-1ZK17c,","Sem fins lucrativos/ativismo"
"Boletim Nossa Voz 09/03/2018","53","3","2","0","0","https://www.youtube.com/watch?v=mqx-6MXzGao","2018-03-09T19:50:22.000Z","As principais notícias da semana no site da União Nacional dos Estudantes.","disabled",True,"PT50S","https://i.ytimg.com/vi/mqx-6MXzGao/hqdefault.jpg","https://www.youtube.com/watch?v=P3Xe0CevZdw,https://www.youtube.com/watch?v=AJ92_BkZpyI,https://www.youtube.com/watch?v=B6wN-1ZK17c,https://www.youtube.com/watch?v=RxYbd7Tvi7U,https://www.youtube.com/watch?v=urOmkgn4ea4,","Sem fins lucrativos/ativismo"
