"title","views","likes","dislikes","comments","favorites","url","publishedAt","description","tags","embeddable","duration","thumbnail","related_to_video","video_category"
"Rarikan na campanha pela água quente no CONUJS!","31","3","2","0","0","https://www.youtube.com/watch?v=TVd5VnMb9Vk","2018-05-11T19:27:08.000Z","Participe da campanha e pague sua inscrição antecipada pelo site! www.ujs.org.br","['UJS', 'Rarikan Heaven', 'Conujs']",True,"PT30S","https://i.ytimg.com/vi/TVd5VnMb9Vk/hqdefault.jpg","https://www.youtube.com/watch?v=sL28LDX8mwY,https://www.youtube.com/watch?v=MEebZMQ90gM,https://www.youtube.com/watch?v=VCXT1kV5k4w,https://www.youtube.com/watch?v=uMcz40KUR1o,https://www.youtube.com/watch?v=Ji5V7MjAlR4,","Notícias e política"
"II ENCONTRO DE JOVENS FEMINISTAS DA UJS","92","9","7","0","0","https://www.youtube.com/watch?v=RlTrkMgoNwE","2018-04-18T19:03:30.000Z","II Encontro das Jovens Feministas da UJS no 8º EME do Brasil","['UJS', 'Feminismo', 'Carina Vitral']",True,"PT1M22S","https://i.ytimg.com/vi/RlTrkMgoNwE/hqdefault.jpg","https://www.youtube.com/watch?v=MEebZMQ90gM,https://www.youtube.com/watch?v=oRPL8kMg0As,https://www.youtube.com/watch?v=VCXT1kV5k4w,https://www.youtube.com/watch?v=LxHAe4wxmn8,https://www.youtube.com/watch?v=LhtNMwRC-Qw,","Notícias e política"
"Ocupa o Poder","386","49","5","2","0","https://www.youtube.com/watch?v=ZRKJqlzJV0g","2018-04-16T20:51:13.000Z","Vídeo apresentação da plataforma ocupa.org.br



Trilha: Oto Gris - Práticas de Mergulho
Edição: Diane Leal","['Ocupa o poder', 'carina vitral']",True,"PT1M57S","https://i.ytimg.com/vi/ZRKJqlzJV0g/hqdefault.jpg","https://www.youtube.com/watch?v=MEebZMQ90gM,https://www.youtube.com/watch?v=hzWXnbkjqDc,https://www.youtube.com/watch?v=Ji5V7MjAlR4,https://www.youtube.com/watch?v=1jaWRMCDQ1A,https://www.youtube.com/watch?v=H0HD5A4qhkE,","Notícias e política"
