"title","views","likes","dislikes","comments","favorites","url","publishedAt","description","tags","embeddable","duration","thumbnail","related_to_video","video_category"
"Lula: Jamais poderão aprisionar nossos sonhos","2516","disabled","disabled","disabled","0","https://www.youtube.com/watch?v=OZbURwBzfK4","2018-04-07T20:49:27.000Z","“Os que nos perseguem podem fazer o que quiser comigo, mas #JamaisPoderãoAprisionarNossosSonhos” – Lula  

Agora, mais do que nunca, precisamos lutar contra a injustiça que assola o país e que se concretiza na prisão sem provas do maior presidente do Brasil.  

Participe dessa luta nas redes sociais publicando esse vídeo, participando do tuitaço e divulgando essas imagens.  

Banco de imagens, avatar e capa: http://bit.ly/JamaisAprisionaraoArtes
Banco de tuítes: http://bit.ly/JamaisAprisionaraoNossosSonhos 
Mascara do avatar/ Twibbon : http://bit.ly/JamaisAprisionaraoTwibbon","disabled",True,"PT2M15S","https://i.ytimg.com/vi/OZbURwBzfK4/hqdefault.jpg","https://www.youtube.com/watch?v=o0pJ3HzkBWA,https://www.youtube.com/watch?v=OwsK2hYgY90,https://www.youtube.com/watch?v=qxtnpXjyMSY,https://www.youtube.com/watch?v=4P7NaG6Fhjo,https://www.youtube.com/watch?v=g8mxBnCG9Yk,","Notícias e política"
"Dilma e Amorim denunciam milícias à mídia internacional","554","disabled","disabled","disabled","0","https://www.youtube.com/watch?v=zr6J20IR9J0","2018-03-28T16:29:41.000Z","Durante entrevista nesta segunda-feira (26) a jornalistas da imprensa internacional, a ex-presidenta Dilma Rousseff e o ex-chanceler Celso Amorim denunciaram a escalada de violência e o crescimento do fascismo no Brasil. 

Dilma destacou os sucessivos atos de agressão contra a caravana do ex-presidente Luiz Inácio Lula da Silva que percorre o sul do país. Segundo ela, os agressores compõem ""verdadeiras milicias"", bandos armados de extrema-direita, e são resultado do recrudescimento do golpe que a retirou da presidência em 2016.","['Dilma Rousseff', 'Celso Amorim', 'Lula', 'caravana', 'tiros', 'atentado contra Lula']",True,"PT9M37S","https://i.ytimg.com/vi/zr6J20IR9J0/hqdefault.jpg","https://www.youtube.com/watch?v=sL28LDX8mwY,https://www.youtube.com/watch?v=4LbcySNGrtQ,https://www.youtube.com/watch?v=ZHOcKcqGID4,https://www.youtube.com/watch?v=9PyxVGvuf_k,https://www.youtube.com/watch?v=sVvGrcXxXPI,","Notícias e política"
