"title","views"
"Avelin Buniacá Kambiwá | Indianizar o Brasil","1221"
"Isa Penna | Relacionamento abusivo: vc não está sozinha","1440"
"Carlos Minc - Projeto de lei para liberar a caça de animais silvestres no Brasil","1139"
"13 dias de resistência em Curitiba - Acampamento Lula Livre","2081"
"A Casa da Democracia é uma realidade!","1503"
