"title","views"
"General Mourão, os valores da nossa sociedade e o Deputado Jair Bolsonaro.","2673"
"SOMOS UM SÓ POVO","11612"
"Bolsonaro com Gideões em Camboriú/SC. Domingo, 29/abril/2018","7078"
"RICTV, nossa passagem por Camboriú/SC.","12810"
"- Esse carinho do nosso povo é indescritível.   - Navegantes/SC/Brasil.","9524"
