"title","views"
"Guilherme Boulos | Por que ocupamos?","489"
"Vamos com Guilherme Boulos e Sonia Guajajara em Belo Horizonte","73"
"Guilherme Boulos | Entrevista para TV Folha","474"
"Vamos com Guilherme Boulos e Sonia Guajajara em Belo Horizonte","56"
"Guilherme Boulos | Entrevista no programa Nocaute com Fernando Morais","113"
