"title","views","likes","dislikes","comments","favorites","url"
"Invasões de propriedades e a minoria de bandidos aterrorizando a maioria da sociedade.","4506","1669","10","256","0","https://www.youtube.com/watch?v=bPaVTNWVnhA"
"BOLSONARO: CAMINHOS DO BRASIL (PERGUNTAS E RESPOSTAS)!","8113","2033","10","175","0","https://www.youtube.com/watch?v=UOf_dNz26Co"
"Mãe não condena PM pela morte do filho assaltante.  Simplesmente assista:","20963","4202","11","364","0","https://www.youtube.com/watch?v=VfFZ5rJb2-I"
"Palestra na Federação das Indústrias do Estado do Rio Grande do Norte.","9853","2291","16","178","0","https://www.youtube.com/watch?v=Aadhl-Lmv2s"
"Chegada há pouco!‬ ‪Obrigado Natal/RN.‬ ‪Um abraço Nordeste.‬","10573","2768","8","245","0","https://www.youtube.com/watch?v=MvjER0flcwE"
