"title","views","likes","dislikes","comments","favorites","url"
"Jornada de Lutas da UBES - Edson Luís e Marielle Franco, presentes!","53","6","8","3","0","https://www.youtube.com/watch?v=RmDDFwIGVJI"
"Boletim Nossa Voz 23/03/18","466","3","20","1","0","https://www.youtube.com/watch?v=jBGURrm6DkQ"
"Boletim Nossa Voz 16 03 2018","52","7","1","0","0","https://www.youtube.com/watch?v=_dO1EF_iZgc"
"Vem aí... UNE Volante!","195","7","4","2","0","https://www.youtube.com/watch?v=d_zZxZ7YlTg"
"Boletim Nossa Voz 09/03/2018","52","3","2","0","0","https://www.youtube.com/watch?v=mqx-6MXzGao"
