"title","views","likes","dislikes","comments","favorites","url"
"MBL NEWS | 11/05/18 | Richthofen no dia das mães, Lula continua preso, e Haddad denunciado","3108","302","23","24","0","https://www.youtube.com/watch?v=rkIlU60-puQ"
"O que Thanos e ditadores comunistas têm em comum?","13485","2439","66","201","0","https://www.youtube.com/watch?v=cQSp7rSl0i0"
"Suzane Von. Richthofen e dia das Mães?","6476","1082","15","54","0","https://www.youtube.com/watch?v=oe-Uds3Cljs"
"CAFÉ COM MBL || 11/05 || Liberdade do lula é negada - Haddad é denunciado -","2149","207","22","57","0","https://www.youtube.com/watch?v=ucQwAS1RQZ0"
"MBL MUNDO |10-05-18| Presidente americano suspende acordo nuclear - Irã e israel se atacam.","2345","184","35","17","0","https://www.youtube.com/watch?v=NEkBQydbkes"
