"title","views"
"Brasilia, 58 anos!","46"
"Em resposta a Renan Calheiros","32637"
"Cristovam defende fim de sigilos bancário e fiscal  para políticos eleitos","47"
"Golpe   corrupção governo Temer","58"
"O que vai fazer se for eleito","52"
