"title","views","likes","dislikes","comments","favorites","url","publishedAt","description","tags","embeddable","duration","thumbnail","related_to_video","video_category"
"Pequena história da hegemonia esquerdista nas escolas e universidades brasileiras","284","43","0","1","0","https://www.youtube.com/watch?v=Y__AP_llV30","2018-04-20T21:38:04.000Z","","['doutrinação hegemonia PT']",True,"PT14M5S","https://i.ytimg.com/vi/Y__AP_llV30/hqdefault.jpg","https://www.youtube.com/watch?v=ikwauZ99Zlc,https://www.youtube.com/watch?v=RMmZRNmgNa4,https://www.youtube.com/watch?v=wRTk2YyuTUw,https://www.youtube.com/watch?v=1UgCJhgo1RY,https://www.youtube.com/watch?v=lSRovhJi7Ks,","Educação"
"Flagrante de doutrinação em escola de Santa Catarina","29","4","0","1","0","https://www.youtube.com/watch?v=T-QmdGDektg","2018-04-20T21:31:54.000Z","Mãe de aluna denuncia e comprova conduta covarde, antiética e abusiva de professora de história em sala de aula. 
#EscolaSemPartidoJá","disabled",True,"PT8M16S","https://i.ytimg.com/vi/T-QmdGDektg/hqdefault.jpg","https://www.youtube.com/watch?v=QIdh8chyxVM,https://www.youtube.com/watch?v=3BhAqlXFay8,https://www.youtube.com/watch?v=Qnk7RRhPCUM,https://www.youtube.com/watch?v=HrO0a3J3lPc,https://www.youtube.com/watch?v=0o1wH8go1zA,","Educação"
"Escola sem Partido derrota totalitarismo “do bem” na UFLA","94","20","1","3","0","https://www.youtube.com/watch?v=WSmfVR13NWo","2018-03-14T14:17:04.000Z","Bia Kicis e Miguel Nagib falam sobre a tentativa da Universidade Federal de Lavras, frustrada pelo Escola sem Partido, de obrigar calouros a participar de oficinas de feminismo, gênero e história “das lutas” do movimento LGBT.","['Doutrinação', 'UFLA', 'Ideologia']",True,"PT12M24S","https://i.ytimg.com/vi/WSmfVR13NWo/hqdefault.jpg","https://www.youtube.com/watch?v=QE3dVncYSJI,https://www.youtube.com/watch?v=0R_M4aXfd8c,https://www.youtube.com/watch?v=OdpB7QkEcpc,https://www.youtube.com/watch?v=gXH7rep7sEg,https://www.youtube.com/watch?v=VPVtmYRIwFc,","Educação"
