"title","views"
"Imaginem Jair Bolsonaro chamando de hiena a Sra. Marina Silva. Assista","37008"
"Grande parte da imprensa & a calúnia: Enéas no campo de ideias está mais atual que nunca.","14879"
"""Robôs"" em Maracanaú e Pacatuba. Obrigado meu Ceará.","48733"
"REVISTA VEJA: Bolsonaro usa robôs de última geração para obter sucesso na internet. kkk","125567"
"BOLSONARO: ENTREVISTA AO PROGRAMA DIRETO DE BRASÍLIA.","123606"
