"title","views"
"13 dias de resistência em Curitiba - Acampamento Lula Livre","1743"
"A Casa da Democracia é uma realidade!","1321"
"12 dias de ocupação em Curitiba - Apoio internacional à Lula","4312"
"Adolfo Pérez Esquivel indica Lula ao Prêmio Nobel da Paz","2738"
"Lindbergh Farias - Desmilitarização da Polícia Militar","1724"
