"title","views"
"Aécio Neves o Brasil precisa saber quem mandou roubar  (Marcello Reis)","298"
"Eleições 2018 sem VOTO IMPRESSO é GOLPE com Felipe Gimenez -Nilton Cacaos  | (Marcello Reis)","331"
"Gleisi Hoffmann quando sair da prisão já tem proposta de emprego de Oscar Maroni (Marcello Reis)","670"
"Gleisi Hoffmann convoca terroristas pela TV Al Jazeera - Cadeia nela (Marcello Reis)","742"
"Bandido Lula liga da cadeia para Silvio Santos | (Marcello Reis)","936"
